Index,Date,Time,Counter,FbLoad,Lvdt1,Lvdt2,Force(kN),Potm,LVDT1,LVDT2,Total Strain (-),Strain Alum,Strain Machine,Chain,Stress [MPa],Deviatoric Stress [Mpa],Strain Ax. [%],Strain Ax [-],Strain Al. [%],Strain Al. [-],Strain Machine [%],Strain Machine [-],Strain Rad. [%],Strain Vol. [%],Gemidd,IFlow,Ipress [Mpa],IVol,FlowA,PressA,VolA,FlowB,PressB,VolB
41,44958.41962,40.536413,58674372,3.266693,0.085588,0.079893,3.411563,1.532395,-0.914258,-0.91998,0.000163407,6.89482E-05,9.44589E-05,19.912166,4.785693,1.785693,0.210808,0.00210808,0.00255099,0.00002551,0.20825701,0.00208257,0,0.210808,-0.917165,1.40215,3,5.2727,0,3,83.7154,0,-1.6,0
42,44958.41963,41.536413,58674373,3.171284,0.086008,0.079805,3.112913,1.532395,-0.916282,-0.922314,0.000132279,6.29124E-05,6.93661E-05,19.912166,4.45185,1.45185,0.20838,0.0020838,0.002074071,0.000020741,0.206305929,0.002063059,0,0.20838,-0.919138,1.53808,3,5.2569,0,3,83.7154,0,-1.6,0
43,44958.41964,42.536413,58674374,3.069342,0.08395,0.078234,3.208838,1.531409,-0.916027,-0.921821,0.000137621,6.48511E-05,7.27703E-05,19.912166,4.494777,1.494777,0.207989,0.00207989,0.002135396,0.000021354,0.205853604,0.002058536,0,0.207989,-0.919106,0.54617,3,5.2412,0,3,83.7154,0,-1.6,0
44,44958.41965,43.536413,58674375,3.431738,0.087847,0.081636,3.497589,1.533382,-0.912842,-0.918797,0.000181971,7.06868E-05,0.000111285,19.912166,4.962075,1.962075,0.212852,0.00212852,0.002802964,0.00002803,0.210049036,0.00210049,0,0.212852,-0.915962,0.15348,3,5.2413,0,3,83.7154,0,-1.6,0
45,44958.41966,44.536413,58674376,3.04628,0.084749,0.078744,3.010454,1.532395,-0.917135,-0.923135,0.000120321,6.08417E-05,5.94797E-05,19.912166,4.295176,1.295176,0.206989,0.00206989,0.001850251,0.000018503,0.205138749,0.002051387,0,0.206989,-0.92003,-0.20792,3,5.2439,0,3,83.7154,0,-1.6,0
46,44958.41968,45.536413,58674377,3.127517,0.084294,0.078651,3.281311,1.531409,-0.915301,-0.920769,0.000150321,6.63158E-05,8.40056E-05,19.912166,4.588182,1.588182,0.209079,0.00209079,0.002268831,0.000022688,0.206810169,0.002068102,0,0.209079,-0.918243,-0.09498,3,5.2463,0,3,83.7154,0,-1.6,0
47,44958.41969,46.536413,58674378,3.390484,0.087821,0.081477,3.377419,1.535354,-0.913173,-0.919914,0.000171629,6.82581E-05,0.00010337,19.912166,4.818008,1.818008,0.212172,0.00212172,0.002597154,0.000025972,0.209574846,0.002095748,0,0.212172,-0.916352,-0.05328,3,5.2468,0,3,83.7154,0,-1.6,0
48,44958.4197,47.536413,58674379,2.934999,0.083782,0.077787,2.977507,1.531409,-0.917486,-0.923464,0.000115464,6.01759E-05,5.52884E-05,19.912166,4.210554,1.210554,0.206226,0.00206226,0.001729363,0.000017294,0.204496637,0.002044966,0,0.206226,-0.920378,0.11062,3,5.2452,0,3,83.7154,0,-1.6,0
49,44958.41971,48.536413,58674380,3.225351,0.085475,0.079833,3.373208,1.534368,-0.914353,-0.920013,0.000162493,6.8173E-05,9.43198E-05,19.912166,4.723006,1.723006,0.21051,0.0021051,0.002461437,0.000024614,0.208048563,0.002080486,0,0.21051,-0.917402,0.49433,3,5.2418,0,3,83.7154,0,-1.6,0
50,44958.41972,49.536413,58674381,3.275344,0.087089,0.080833,3.25431,1.533382,-0.914438,-0.920933,0.000155314,6.57701E-05,8.95442E-05,19.912166,4.647369,1.647369,0.210845,0.00210845,0.002353384,0.000023534,0.208491616,0.002084916,0,0.210845,-0.917403,0.42804,3,5.2383,0,3,83.7154,0,-1.6,0
51,44958.41973,50.536413,58674382,2.919293,0.083582,0.07745,2.978906,1.530423,-0.917456,-0.923661,0.000114271,6.02041E-05,5.40673E-05,19.912166,4.200298,1.200298,0.206359,0.00206359,0.001714711,0.000017147,0.204644289,0.002046443,0,0.206359,-0.920374,0.29173,3,5.2362,0,3,83.7154,0,-1.6,0
